cpu,ÄÚ´æ,10ÍòÌÇÂß¼­Ö¡,20ÍòÌÇÂß¼­Ö¡,120ÍòÌÇÂß¼­Ö¡
,,,,
14900K,64G 6400,124,80,19
13900K,64G 7200,126,83,
14700K,64G 6400,117,77,
14700KF,64G 6400,111,74,19
14700KF,32G 6800,110,74,19
14790F,32G 6000,106,66,16
13700KF,32G 7400,123,80,
13700KF,64G 6400,121,79,19
13700KF,64G 6400,127,81,21
13700KF,64G 6400,118,77,21
13600KF,32G 6400,115,69,13
13600KF,32G 7200,111,73,18
13600KF,32G 4000,96,59,13
13600KF,32G 3600,95,56,12
13600KF,32G 4000,84,52,13
13600KF,64G 2400,83,46,10
12700KF,32G 6800,102,68,
12700KF,32G 5600,95,59,
12600KF,32G 4800,85,54,13
12600K,32G 3200,79,47,10
12400F,32G 3200,78,47,
i7 8550U,8G 2133,45,26,6
i5 1157G7,16G 3200,30,17,
i5 4460T,8G 1600,28,16,3
,,,,
7800X3D,32G 6000,118,68,15
7800X3D,32G 6000,115,68,14
7800X3D,32G 4800,121,62,
9950X,64G 6000,94,59,13
7900X,32G 6400,107,66,
7700,32G 6000,94,59,12
7600X,32G 6400,89,57,
8600G,32G 6400,87,50,12
5700G,32G 3933,84,48,11
5700X,32G 3400,82,47,10
5600G,32G 3200,67,38,8
5600,32G 3600,72,40,9
,,,,
U7 258V,32G LP8533,70,42,10
U7 155H,32G LP7467,60,41,11
14900HX,32G 4800,97,60,14
14700HX,32G 5600,98,60,14
14650HX,16G 5600,95,59,
14650HX,32G 5600,92,57,14
12900H,32G 4800,82,51,12
12800HX,16G 4800,73,43,
10870H,64G 2933,62,37,
,,,,
R9 HX370,32G 7500,72,44,11
7945HX,16G 5200,67,38,
7945HX,16G 5200,69,38,
7940H,64G 4800,73,44,10
7745HX,32G 4800,77,46,9
5800H,64G 3200,63,37,
